Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,Penetration Rate
01-01-2022,Maharashtra,2-Wheelers,5138,136937,3.752090377
01-05-2022,Goa,4-Wheelers,51,1360,3.75
01-03-2022,Uttarakhand,2-Wheelers,435,11692,3.720492645
01-02-2024,Karnataka,4-Wheelers,923,24812,3.719974206
01-05-2023,West Bengal,4-Wheelers,322,8672,3.713099631
01-03-2024,Uttar Pradesh,2-Wheelers,7799,210216,3.70999353
01-04-2023,Delhi,4-Wheelers,551,14861,3.707691272
01-06-2022,Chhattisgarh,2-Wheelers,1038,28027,3.703571556
01-01-2024,Goa,4-Wheelers,86,2331,3.689403689
01-05-2022,Haryana,2-Wheelers,1178,32009,3.68021494
01-05-2023,Punjab,2-Wheelers,1181,32433,3.641352943
01-09-2022,Chandigarh,2-Wheelers,70,1929,3.628823224
01-07-2022,Jammu and Kashmir,2-Wheelers,316,8717,3.625100379
01-09-2023,Chandigarh,4-Wheelers,54,1491,3.621730382
01-09-2023,Kerala,4-Wheelers,773,21467,3.600875763
01-12-2022,Madhya Pradesh,2-Wheelers,2328,64980,3.582640813
01-04-2022,Delhi,4-Wheelers,566,15811,3.579786225
01-01-2024,DNH and DD,2-Wheelers,31,866,3.579676674
01-09-2022,Madhya Pradesh,2-Wheelers,1898,53245,3.564653958
01-11-2023,Gujarat,2-Wheelers,5424,152556,3.555415716
01-12-2021,Maharashtra,2-Wheelers,4775,134502,3.550133084
01-05-2022,Tamil Nadu,2-Wheelers,3628,102565,3.537269049
01-12-2021,Odisha,2-Wheelers,939,26693,3.517776196
01-01-2024,Karnataka,4-Wheelers,1080,30770,3.509912252
01-12-2023,Maharashtra,4-Wheelers,1125,32212,3.492487272
01-08-2022,Andhra Pradesh,2-Wheelers,1898,54365,3.491216775
01-04-2023,Goa,4-Wheelers,57,1633,3.490508267
01-06-2022,Chandigarh,2-Wheelers,63,1808,3.484513274
01-01-2023,Uttarakhand,2-Wheelers,447,12862,3.475353755
01-12-2021,Rajasthan,2-Wheelers,2119,61061,3.470300192
01-10-2022,Andhra Pradesh,2-Wheelers,2568,74374,3.452819534
01-02-2023,Delhi,4-Wheelers,510,14823,3.440599069
01-02-2022,Puducherry,2-Wheelers,117,3410,3.431085044
01-04-2023,Karnataka,4-Wheelers,762,22368,3.406652361
01-01-2022,Tamil Nadu,2-Wheelers,4233,124399,3.402760472
01-10-2022,Delhi,4-Wheelers,633,18613,3.400848869
01-03-2024,Tamil Nadu,4-Wheelers,749,22095,3.389907219
01-12-2023,Uttarakhand,2-Wheelers,655,19337,3.387288618
01-06-2022,Tamil Nadu,2-Wheelers,3749,110740,3.38540726
01-03-2022,Haryana,2-Wheelers,1025,30295,3.3833966
01-02-2024,Maharashtra,4-Wheelers,1227,36302,3.379979065
01-10-2022,Haryana,2-Wheelers,1313,38921,3.373500167
01-04-2023,Jammu and Kashmir,2-Wheelers,212,6299,3.365613589
01-11-2021,Delhi,2-Wheelers,1269,37710,3.365155131
01-05-2022,Andhra Pradesh,2-Wheelers,1615,48041,3.361711871
01-05-2023,Manipur,4-Wheelers,4,119,3.361344538
01-11-2022,Uttarakhand,2-Wheelers,839,25037,3.35104046
01-09-2021,Rajasthan,2-Wheelers,1625,48502,3.350377304
01-04-2022,Chandigarh,2-Wheelers,63,1881,3.349282297
01-09-2022,Delhi,4-Wheelers,471,14076,3.346121057
01-08-2022,Ladakh,4-Wheelers,9,269,3.345724907
01-02-2024,Delhi,4-Wheelers,596,17898,3.329981003
01-03-2024,Haryana,2-Wheelers,1387,41778,3.319929149
01-10-2023,Madhya Pradesh,2-Wheelers,3262,99036,3.293751767
01-02-2023,Maharashtra,4-Wheelers,1012,30727,3.293520357
01-09-2022,Haryana,2-Wheelers,848,25832,3.282750077
01-07-2021,Delhi,2-Wheelers,818,24955,3.27790022
01-01-2024,Uttarakhand,2-Wheelers,382,11682,3.269988016
01-11-2022,Maharashtra,4-Wheelers,1144,35215,3.248615647
01-05-2023,Chandigarh,4-Wheelers,83,2556,3.247261346
01-03-2023,Maharashtra,4-Wheelers,1389,42854,3.241237691
01-05-2023,Maharashtra,4-Wheelers,1137,35179,3.232041843
01-04-2023,Maharashtra,4-Wheelers,1139,35336,3.223341635
01-02-2024,Odisha,4-Wheelers,203,6305,3.219666931
01-07-2022,Uttarakhand,2-Wheelers,404,12603,3.205585972
01-03-2024,DNH and DD,2-Wheelers,25,780,3.205128205
01-03-2023,Madhya Pradesh,2-Wheelers,3213,100653,3.192155226
01-06-2022,Haryana,2-Wheelers,966,30435,3.173977329
01-02-2024,Uttar Pradesh,2-Wheelers,6557,206846,3.169991201
01-10-2023,Delhi,4-Wheelers,519,16459,3.153289993
01-11-2023,Tamil Nadu,4-Wheelers,599,19015,3.150144623
01-02-2023,Madhya Pradesh,2-Wheelers,2358,75150,3.137724551
01-11-2023,Karnataka,4-Wheelers,822,26232,3.13357731
01-12-2021,Puducherry,2-Wheelers,81,2589,3.128621089
01-07-2022,Maharashtra,4-Wheelers,1098,35100,3.128205128
01-06-2023,Chhattisgarh,4-Wheelers,114,3650,3.123287671
01-01-2024,Uttar Pradesh,2-Wheelers,5668,181667,3.119994275
01-04-2023,Andhra Pradesh,4-Wheelers,225,7229,3.112463688
01-08-2022,Chandigarh,2-Wheelers,59,1896,3.111814346
01-03-2024,West Bengal,2-Wheelers,2159,69871,3.089980106
01-07-2023,Uttarakhand,2-Wheelers,408,13216,3.08716707
01-03-2022,Chhattisgarh,2-Wheelers,959,31244,3.069389323
01-07-2023,Tamil Nadu,4-Wheelers,630,20553,3.065245949
01-01-2022,Kerala,2-Wheelers,1399,45699,3.061336134
01-05-2023,Haryana,2-Wheelers,1053,34399,3.061135498
01-07-2023,Maharashtra,4-Wheelers,1103,36082,3.056925891
01-07-2023,Chandigarh,4-Wheelers,71,2326,3.052450559
01-01-2023,Madhya Pradesh,2-Wheelers,2443,80312,3.041886642
01-06-2022,Maharashtra,4-Wheelers,1082,35587,3.040436114
01-11-2022,Delhi,4-Wheelers,483,15949,3.028403035
01-02-2022,Odisha,2-Wheelers,1266,41856,3.024655963
01-09-2022,Puducherry,2-Wheelers,114,3772,3.022269353
01-02-2023,Jammu and Kashmir,2-Wheelers,147,4868,3.019720624
01-04-2023,Madhya Pradesh,2-Wheelers,1958,64877,3.018018712
01-03-2024,Mizoram,2-Wheelers,58,1932,3.002070393
01-10-2023,Maharashtra,4-Wheelers,1404,47126,2.979247125
01-11-2023,West Bengal,4-Wheelers,290,9743,2.976495946
01-06-2023,Chandigarh,4-Wheelers,77,2597,2.964959569
01-02-2024,Punjab,2-Wheelers,1017,34359,2.959923164
01-10-2021,Tamil Nadu,2-Wheelers,2530,85674,2.953054602
01-01-2024,Haryana,2-Wheelers,1259,42824,2.93994022
01-03-2024,Maharashtra,4-Wheelers,1079,36826,2.929995112
01-01-2023,Jammu and Kashmir,2-Wheelers,115,3934,2.92323335
01-03-2022,Chandigarh,2-Wheelers,55,1883,2.920870951
01-06-2023,West Bengal,4-Wheelers,247,8471,2.91583048
01-05-2022,Uttarakhand,2-Wheelers,377,12930,2.915699923
01-01-2022,Odisha,2-Wheelers,1333,45749,2.91372489
01-12-2023,West Bengal,2-Wheelers,2625,90092,2.91368823
01-03-2024,Rajasthan,4-Wheelers,493,16942,2.90992799
01-05-2022,Chhattisgarh,2-Wheelers,834,28821,2.893723327
01-09-2021,Delhi,4-Wheelers,265,9181,2.886395817
01-06-2021,Karnataka,2-Wheelers,560,19402,2.886300381
01-11-2023,Delhi,4-Wheelers,538,18675,2.88085676
01-07-2023,Rajasthan,4-Wheelers,405,14064,2.879692833
01-02-2023,Chandigarh,4-Wheelers,59,2061,2.862688016
01-06-2022,Uttarakhand,2-Wheelers,374,13121,2.850392501
01-08-2023,Uttarakhand,2-Wheelers,364,12790,2.845973417
01-02-2022,Maharashtra,4-Wheelers,905,31805,2.84546455
01-05-2023,Jammu and Kashmir,2-Wheelers,258,9084,2.84015852
01-05-2021,Karnataka,2-Wheelers,140,4942,2.83286119
01-09-2021,Goa,2-Wheelers,87,3081,2.82375852
01-02-2023,Karnataka,4-Wheelers,616,21837,2.820900307
01-02-2024,Haryana,2-Wheelers,1075,38121,2.819967997
01-07-2023,Madhya Pradesh,2-Wheelers,1971,69937,2.818250711
01-06-2023,Gujarat,4-Wheelers,698,24829,2.811228805
01-07-2023,Chhattisgarh,4-Wheelers,94,3346,2.809324567
01-10-2022,Jammu and Kashmir,2-Wheelers,258,9184,2.809233449
01-01-2022,Andhra Pradesh,2-Wheelers,1671,59712,2.798432476
01-09-2022,Maharashtra,4-Wheelers,939,33643,2.791070951
01-07-2022,Chandigarh,2-Wheelers,58,2086,2.780441035
01-08-2023,Andhra Pradesh,2-Wheelers,1568,56399,2.780191138
01-08-2023,Delhi,4-Wheelers,440,15852,2.775674994
01-08-2023,Chhattisgarh,4-Wheelers,107,3859,2.772739052
01-03-2024,Chhattisgarh,4-Wheelers,120,4348,2.759889604
01-10-2023,Uttarakhand,2-Wheelers,383,13890,2.75737941
01-05-2023,Gujarat,4-Wheelers,710,25770,2.755141638
01-08-2022,Haryana,2-Wheelers,915,33336,2.744780418
01-12-2022,Maharashtra,4-Wheelers,887,32422,2.735796681
01-03-2023,Tripura,4-Wheelers,9,329,2.73556231
01-11-2023,Maharashtra,4-Wheelers,1315,48131,2.732126904
01-04-2022,Punjab,2-Wheelers,817,29934,2.729337877
01-07-2022,Delhi,4-Wheelers,438,16056,2.727952167
01-08-2022,Delhi,4-Wheelers,443,16315,2.715292675
01-10-2021,Maharashtra,2-Wheelers,3554,131332,2.706118844
01-12-2023,Tamil Nadu,4-Wheelers,520,19246,2.701860127
01-02-2024,Rajasthan,4-Wheelers,517,19149,2.699879889
01-12-2021,Jammu and Kashmir,2-Wheelers,110,4076,2.698724239
01-04-2022,Puducherry,2-Wheelers,82,3044,2.693823916
01-08-2023,Rajasthan,4-Wheelers,396,14786,2.678209117
01-11-2022,Chandigarh,4-Wheelers,61,2279,2.676612549
01-07-2023,Andhra Pradesh,2-Wheelers,1361,50877,2.675079112
01-05-2023,Andhra Pradesh,4-Wheelers,216,8095,2.668313774
01-08-2023,Maharashtra,4-Wheelers,1070,40169,2.663745675
01-09-2021,Goa,4-Wheelers,34,1277,2.662490211
01-12-2023,Rajasthan,4-Wheelers,348,13082,2.660143709
01-10-2023,Andhra Pradesh,2-Wheelers,1757,66154,2.655924056
01-09-2021,Tamil Nadu,2-Wheelers,2880,108477,2.654940679
01-09-2022,Jammu and Kashmir,2-Wheelers,220,8320,2.644230769
01-02-2022,Haryana,2-Wheelers,677,25667,2.637628083
01-10-2022,Madhya Pradesh,2-Wheelers,3616,137210,2.63537643
01-11-2022,Madhya Pradesh,2-Wheelers,3426,130285,2.62961968
01-12-2023,Jammu and Kashmir,2-Wheelers,96,3661,2.622234362
01-09-2023,Andhra Pradesh,2-Wheelers,1388,53014,2.618176331
01-05-2021,Jammu and Kashmir,2-Wheelers,50,1916,2.60960334
01-12-2023,Chhattisgarh,4-Wheelers,93,3575,2.601398601
01-03-2024,Gujarat,4-Wheelers,661,25424,2.599905601
01-12-2023,Uttar Pradesh,2-Wheelers,5487,211546,2.593762113
01-05-2023,Rajasthan,4-Wheelers,419,16157,2.593303212
01-04-2021,Karnataka,2-Wheelers,1549,59979,2.582570566
01-03-2023,Tamil Nadu,4-Wheelers,571,22131,2.580091275
01-02-2024,Tamil Nadu,4-Wheelers,595,23063,2.579889867
01-01-2024,Maharashtra,4-Wheelers,1289,50156,2.569981657
01-11-2021,Tamil Nadu,2-Wheelers,2844,111203,2.55748496
01-12-2023,Odisha,4-Wheelers,186,7280,2.554945055
01-11-2023,Uttarakhand,2-Wheelers,626,24522,2.552809722
01-06-2022,Puducherry,2-Wheelers,85,3331,2.55178625
01-08-2021,Rajasthan,2-Wheelers,1451,57021,2.544676523
01-05-2023,Tamil Nadu,4-Wheelers,529,20789,2.544614941
01-03-2023,Jammu and Kashmir,2-Wheelers,198,7789,2.542046476
01-11-2023,Andhra Pradesh,2-Wheelers,1997,79246,2.52000101
01-12-2022,Andaman & Nicobar Island,2-Wheelers,10,397,2.518891688
01-12-2021,Kerala,2-Wheelers,1107,43996,2.516137831
01-08-2023,Tamil Nadu,4-Wheelers,591,23537,2.510940222
01-03-2024,Bihar,2-Wheelers,2584,102949,2.50998067
01-08-2021,Tamil Nadu,2-Wheelers,2745,109440,2.508223684
01-04-2023,Chandigarh,4-Wheelers,62,2482,2.497985496
01-07-2023,Gujarat,4-Wheelers,692,27755,2.49324446
01-11-2023,Odisha,4-Wheelers,177,7105,2.491203378
01-09-2022,Goa,4-Wheelers,42,1687,2.489626556
01-06-2023,Tamil Nadu,4-Wheelers,572,22976,2.489554318
01-10-2022,Kerala,4-Wheelers,419,16857,2.485614285
01-08-2022,Maharashtra,4-Wheelers,992,40173,2.46932019
01-09-2023,Goa,4-Wheelers,69,2801,2.463405926
01-01-2024,Punjab,2-Wheelers,821,33511,2.44994181
01-05-2022,Chandigarh,2-Wheelers,44,1797,2.44852532
01-10-2023,Rajasthan,4-Wheelers,464,18951,2.448419608
01-06-2023,Rajasthan,4-Wheelers,380,15534,2.446246942
01-10-2021,Rajasthan,2-Wheelers,1602,65626,2.441105659
01-11-2023,Punjab,2-Wheelers,1184,48694,2.431511069
01-06-2023,Uttarakhand,2-Wheelers,324,13374,2.422611036
01-09-2023,West Bengal,4-Wheelers,218,9011,2.419265342
01-09-2023,Tamil Nadu,4-Wheelers,543,22461,2.417523708
01-09-2023,Delhi,4-Wheelers,380,15776,2.40872211
01-12-2022,Jharkhand,2-Wheelers,653,27130,2.406929598
01-10-2021,Goa,4-Wheelers,28,1165,2.403433476
01-02-2022,Uttarakhand,2-Wheelers,223,9283,2.402240655
01-01-2023,Jharkhand,2-Wheelers,655,27267,2.402171123
01-02-2024,Chhattisgarh,4-Wheelers,99,4125,2.4
01-12-2021,Chandigarh,2-Wheelers,30,1252,2.396166134
01-08-2022,Puducherry,2-Wheelers,91,3810,2.388451444
01-11-2022,Karnataka,4-Wheelers,564,23618,2.388009146
01-10-2023,West Bengal,4-Wheelers,238,9972,2.386682712
01-11-2023,Madhya Pradesh,2-Wheelers,4861,204532,2.376645219
01-02-2024,Mizoram,2-Wheelers,51,2146,2.376514445
01-06-2022,Ladakh,2-Wheelers,14,590,2.372881356
01-11-2022,Jharkhand,2-Wheelers,953,40248,2.367819519
01-02-2022,Delhi,4-Wheelers,298,12608,2.36357868
01-06-2023,Andhra Pradesh,4-Wheelers,156,6611,2.359703524
01-12-2022,Haryana,2-Wheelers,885,37571,2.355540177
01-01-2023,Haryana,2-Wheelers,706,29990,2.354118039
01-04-2023,Haryana,2-Wheelers,802,34168,2.347225474
01-09-2021,Maharashtra,2-Wheelers,2166,92351,2.345399617
01-11-2022,Haryana,2-Wheelers,1369,58469,2.341411688
01-07-2023,Odisha,4-Wheelers,134,5745,2.332463011
01-01-2023,Goa,4-Wheelers,44,1888,2.330508475
01-01-2022,Puducherry,2-Wheelers,94,4044,2.324431256
01-08-2023,Odisha,4-Wheelers,146,6282,2.324100605
01-12-2021,Andhra Pradesh,2-Wheelers,985,42446,2.32059558
01-05-2022,Maharashtra,4-Wheelers,794,34222,2.320144936
01-10-2023,Uttar Pradesh,2-Wheelers,3775,162993,2.316050383
01-07-2022,Haryana,2-Wheelers,710,30657,2.315947418
01-10-2021,Jammu and Kashmir,2-Wheelers,199,8601,2.313684455
01-03-2023,Rajasthan,4-Wheelers,425,18370,2.313554709
01-07-2023,Andhra Pradesh,4-Wheelers,157,6820,2.302052786
01-09-2023,Rajasthan,4-Wheelers,375,16356,2.29273661
01-01-2024,Rajasthan,4-Wheelers,498,21747,2.28997103
01-02-2024,DNH and DD,2-Wheelers,24,1052,2.281368821
01-07-2021,Tamil Nadu,2-Wheelers,2801,122808,2.280796039
01-10-2022,Maharashtra,4-Wheelers,1174,51561,2.276914722
01-03-2022,Punjab,2-Wheelers,716,31497,2.273232371
01-12-2021,Gujarat,2-Wheelers,2111,92992,2.270087749
01-01-2024,West Bengal,2-Wheelers,1636,72390,2.25998066
01-02-2024,Manipur,4-Wheelers,7,310,2.258064516
01-01-2023,Karnataka,4-Wheelers,587,26011,2.256737534
01-02-2023,Haryana,2-Wheelers,702,31279,2.244317274
01-02-2022,Kerala,4-Wheelers,327,14575,2.243567753
01-05-2023,Himachal Pradesh,2-Wheelers,118,5278,2.235695339
01-10-2023,Punjab,2-Wheelers,760,34028,2.233454802
01-04-2022,Goa,4-Wheelers,31,1390,2.230215827
01-03-2023,Andhra Pradesh,4-Wheelers,173,7764,2.22823287
01-02-2022,Chhattisgarh,2-Wheelers,635,28508,2.227444928
01-07-2022,Punjab,2-Wheelers,603,27082,2.226571154
01-11-2022,Punjab,2-Wheelers,1042,46873,2.223028183
01-08-2022,Jharkhand,2-Wheelers,561,25332,2.214590242
01-03-2023,Haryana,4-Wheelers,477,21547,2.213765257
01-11-2023,Rajasthan,4-Wheelers,539,24386,2.21028459
01-07-2023,West Bengal,4-Wheelers,179,8111,2.206879546
01-06-2023,Andhra Pradesh,2-Wheelers,1004,45618,2.200885615
01-01-2024,Tamil Nadu,4-Wheelers,626,28455,2.199964857
01-09-2023,Uttar Pradesh,2-Wheelers,3141,143067,2.195474847
01-01-2022,Goa,4-Wheelers,26,1185,2.194092827
01-12-2021,Delhi,4-Wheelers,277,12633,2.192669991
01-11-2021,Maharashtra,2-Wheelers,3684,168326,2.188610197
01-03-2023,Punjab,2-Wheelers,805,36806,2.187143401
01-02-2024,West Bengal,4-Wheelers,185,8487,2.179804407
01-11-2021,Kerala,2-Wheelers,948,43718,2.168443204
01-03-2024,Jharkhand,2-Wheelers,824,38149,2.159951768
01-10-2022,Karnataka,4-Wheelers,563,26091,2.157832203
01-07-2022,Puducherry,2-Wheelers,71,3298,2.152819891
01-09-2022,Punjab,2-Wheelers,590,27407,2.152734703
01-03-2023,Haryana,2-Wheelers,714,33171,2.15248259
01-09-2021,Chandigarh,2-Wheelers,25,1162,2.151462995
01-04-2023,Tamil Nadu,4-Wheelers,399,18659,2.138378263
01-09-2021,Jammu and Kashmir,2-Wheelers,157,7354,2.134892575
01-01-2022,Jammu and Kashmir,2-Wheelers,76,3561,2.134231957
01-11-2022,Kerala,4-Wheelers,325,15267,2.128774481
01-06-2023,Madhya Pradesh,2-Wheelers,1671,78536,2.127686666
01-09-2021,Haryana,2-Wheelers,691,32590,2.120282295
01-07-2022,Madhya Pradesh,2-Wheelers,1722,81579,2.110837348
01-01-2022,Haryana,2-Wheelers,597,28339,2.106637496
01-12-2023,Gujarat,4-Wheelers,548,26023,2.105829459
01-06-2023,Jammu and Kashmir,2-Wheelers,166,7915,2.097283639
01-09-2022,Jharkhand,2-Wheelers,498,23758,2.096136038
01-06-2022,Kerala,4-Wheelers,345,16486,2.092684702
01-04-2022,Himachal Pradesh,2-Wheelers,97,4637,2.091869743
01-02-2024,Andhra Pradesh,4-Wheelers,128,6125,2.089795918
01-12-2023,Punjab,2-Wheelers,951,45523,2.089053885
01-02-2022,Jammu and Kashmir,2-Wheelers,101,4836,2.088502895
01-05-2022,Puducherry,2-Wheelers,65,3122,2.081998719
01-09-2023,Chhattisgarh,4-Wheelers,83,3993,2.078637616
01-09-2023,Uttarakhand,2-Wheelers,262,12642,2.07245689
01-03-2022,Madhya Pradesh,2-Wheelers,1580,76256,2.071968107
01-01-2022,Delhi,4-Wheelers,282,13659,2.064572809
01-02-2023,Jharkhand,2-Wheelers,652,31633,2.061138684
01-02-2024,Jharkhand,2-Wheelers,710,34467,2.059941393
01-02-2023,DNH and DD,2-Wheelers,16,777,2.059202059
01-11-2021,Odisha,2-Wheelers,843,41128,2.049698502
01-07-2021,Rajasthan,2-Wheelers,1378,67308,2.047304927
01-03-2023,Jharkhand,2-Wheelers,797,39001,2.043537345
01-12-2022,Chandigarh,4-Wheelers,46,2261,2.03449801
01-10-2023,Jammu and Kashmir,2-Wheelers,137,6736,2.033847981
01-08-2021,Maharashtra,2-Wheelers,2419,119076,2.031475696
01-09-2022,Kerala,4-Wheelers,397,19551,2.030586671
01-04-2023,Rajasthan,4-Wheelers,291,14377,2.024066217
01-12-2021,Chhattisgarh,2-Wheelers,500,24772,2.01840788
01-09-2023,Maharashtra,4-Wheelers,869,43063,2.017973666
01-12-2022,Tamil Nadu,4-Wheelers,406,20201,2.009801495
01-07-2021,Jammu and Kashmir,2-Wheelers,203,10104,2.009105305
01-05-2023,Jharkhand,2-Wheelers,839,41796,2.007369126
01-03-2023,Himachal Pradesh,2-Wheelers,91,4543,2.003081664
01-08-2023,Gujarat,4-Wheelers,512,25572,2.002189895
01-01-2023,Chandigarh,4-Wheelers,50,2500,2
01-01-2024,Odisha,4-Wheelers,150,7500,2
01-08-2022,Jammu and Kashmir,2-Wheelers,182,9131,1.993209944
01-01-2023,Kerala,4-Wheelers,344,17267,1.992239532
01-03-2022,Kerala,4-Wheelers,331,16628,1.990618234
01-11-2021,Haryana,2-Wheelers,871,43957,1.981481903
01-04-2023,Himachal Pradesh,2-Wheelers,96,4847,1.980606561
01-02-2024,Gujarat,4-Wheelers,510,25758,1.979967389
01-08-2022,Punjab,2-Wheelers,645,32591,1.979073977
01-12-2022,Karnataka,4-Wheelers,438,22142,1.978141089
01-06-2022,Jammu and Kashmir,2-Wheelers,159,8064,1.97172619
01-11-2023,Jammu and Kashmir,2-Wheelers,172,8743,1.967288116
01-08-2022,Madhya Pradesh,2-Wheelers,1931,98165,1.967096216
01-05-2023,Tripura,2-Wheelers,65,3305,1.966717095
01-10-2021,Kerala,2-Wheelers,833,42377,1.965688935
01-10-2021,Delhi,4-Wheelers,253,12876,1.96489593
01-09-2021,Punjab,2-Wheelers,487,24819,1.962206374
01-10-2023,Tamil Nadu,4-Wheelers,556,28342,1.961752876
01-09-2022,Karnataka,4-Wheelers,493,25136,1.961330363
01-08-2023,West Bengal,4-Wheelers,178,9101,1.95582903
01-01-2022,Punjab,2-Wheelers,552,28295,1.950874713
01-07-2022,Kerala,4-Wheelers,292,14993,1.947575535
01-05-2023,West Bengal,2-Wheelers,1508,77494,1.945957106
01-10-2023,DNH and DD,4-Wheelers,12,620,1.935483871
01-12-2023,Jharkhand,2-Wheelers,632,32673,1.934318857
01-04-2021,Delhi,2-Wheelers,272,14233,1.911051781
01-03-2023,Gujarat,4-Wheelers,498,26082,1.909362779
01-04-2023,West Bengal,4-Wheelers,152,7999,1.90023753
01-03-2024,Himachal Pradesh,2-Wheelers,90,4737,1.899936669
01-10-2022,Punjab,2-Wheelers,707,37265,1.897222595
01-12-2023,West Bengal,4-Wheelers,160,8435,1.896858328
01-10-2022,Jharkhand,2-Wheelers,949,50073,1.89523296
01-04-2023,Gujarat,4-Wheelers,537,28451,1.887455625
01-09-2023,Punjab,2-Wheelers,676,35832,1.886581826
01-10-2021,Haryana,2-Wheelers,505,26891,1.877951731
01-04-2023,Jharkhand,2-Wheelers,682,36353,1.876048744
01-06-2021,Goa,4-Wheelers,14,749,1.869158879
01-01-2023,Maharashtra,4-Wheelers,827,44349,1.86475456
01-08-2022,Goa,4-Wheelers,44,2364,1.861252115
01-01-2022,Chhattisgarh,2-Wheelers,595,31989,1.86001438
01-02-2022,Chandigarh,2-Wheelers,22,1184,1.858108108
01-03-2023,Chhattisgarh,4-Wheelers,95,5119,1.855831217
01-06-2022,Himachal Pradesh,2-Wheelers,104,5610,1.853832442
01-07-2022,Karnataka,4-Wheelers,358,19322,1.852810268
01-02-2023,Rajasthan,4-Wheelers,293,15819,1.852203047
01-03-2022,Andaman & Nicobar Island,4-Wheelers,2,108,1.851851852
01-08-2023,Punjab,2-Wheelers,642,34784,1.845676173
01-08-2023,Uttar Pradesh,2-Wheelers,2710,146984,1.843738094
01-07-2023,Andaman & Nicobar Island,4-Wheelers,3,163,1.840490798
01-01-2024,Chhattisgarh,4-Wheelers,91,4946,1.839870603
01-01-2023,Delhi,4-Wheelers,331,17993,1.839604291
01-10-2023,Mizoram,2-Wheelers,36,1958,1.838610827
01-09-2022,Uttar Pradesh,2-Wheelers,1787,97293,1.836720011
01-07-2022,Jharkhand,2-Wheelers,589,32122,1.833634269
01-06-2022,Punjab,2-Wheelers,514,28256,1.819082673
01-11-2021,Maharashtra,4-Wheelers,515,28322,1.818374409
01-12-2023,Andhra Pradesh,4-Wheelers,130,7155,1.816911251
01-11-2023,Gujarat,4-Wheelers,592,32601,1.815895218
01-12-2021,Uttarakhand,2-Wheelers,229,12632,1.812856238
01-02-2024,West Bengal,2-Wheelers,1341,74089,1.809985288
01-01-2024,Bihar,2-Wheelers,1288,71556,1.79998882
01-03-2024,Assam,2-Wheelers,767,42612,1.799962452
01-01-2024,Jharkhand,2-Wheelers,551,30612,1.799947733
01-01-2024,West Bengal,4-Wheelers,184,10223,1.799863054
01-10-2021,Odisha,2-Wheelers,948,52708,1.79858845
01-12-2022,Kerala,4-Wheelers,298,16601,1.795072586
01-10-2022,Goa,4-Wheelers,40,2230,1.793721973
01-06-2022,Delhi,4-Wheelers,267,14908,1.790984706
01-01-2023,Punjab,2-Wheelers,590,33117,1.78156234
01-04-2022,Madhya Pradesh,2-Wheelers,1337,75144,1.779250506
01-12-2022,Andhra Pradesh,4-Wheelers,120,6769,1.772787709
01-11-2023,Mizoram,2-Wheelers,35,1977,1.77035913
01-06-2023,Punjab,2-Wheelers,534,30214,1.767392599
01-01-2022,Uttarakhand,2-Wheelers,184,10413,1.767021992
01-05-2023,Odisha,4-Wheelers,105,5951,1.764409343
01-01-2023,Himachal Pradesh,2-Wheelers,78,4421,1.764306718
01-12-2022,Punjab,2-Wheelers,635,35992,1.764280951
01-02-2023,West Bengal,4-Wheelers,142,8054,1.763099081
01-02-2023,Punjab,2-Wheelers,609,34555,1.762407756
01-02-2023,Andhra Pradesh,4-Wheelers,116,6628,1.750150875
01-09-2022,Bihar,2-Wheelers,951,54364,1.749319403
01-05-2023,Manipur,2-Wheelers,10,572,1.748251748
01-02-2023,Chhattisgarh,4-Wheelers,73,4196,1.739752145
01-12-2022,Uttar Pradesh,2-Wheelers,2334,134747,1.732135038
01-09-2021,Odisha,2-Wheelers,490,28355,1.728090284
01-11-2021,Punjab,2-Wheelers,803,46549,1.725063911
01-03-2023,Uttar Pradesh,2-Wheelers,3559,206315,1.725032111
01-10-2021,Gujarat,2-Wheelers,1460,84700,1.723730815
01-12-2022,Goa,4-Wheelers,30,1744,1.720183486
01-09-2023,Gujarat,4-Wheelers,633,36818,1.719267749
01-06-2022,Madhya Pradesh,2-Wheelers,1434,83413,1.719156486
01-11-2021,Andhra Pradesh,2-Wheelers,1114,64835,1.718207758
01-03-2022,Himachal Pradesh,2-Wheelers,61,3565,1.711079944
01-07-2022,Himachal Pradesh,2-Wheelers,92,5377,1.710991259
01-12-2022,DNH and DD,2-Wheelers,19,1112,1.708633094
01-04-2022,Kerala,4-Wheelers,275,16142,1.703630281
01-09-2021,Uttarakhand,2-Wheelers,169,9926,1.702599234
01-04-2023,West Bengal,2-Wheelers,918,54194,1.693914455
01-12-2023,Uttar Pradesh,4-Wheelers,498,29434,1.691920908
01-11-2023,Chhattisgarh,4-Wheelers,99,5877,1.684532925
01-12-2023,Haryana,2-Wheelers,1019,60574,1.682239905
01-05-2021,Puducherry,4-Wheelers,2,119,1.680672269
01-12-2022,Tripura,2-Wheelers,57,3393,1.679929266
01-09-2023,Jharkhand,2-Wheelers,524,31209,1.679002852
01-04-2023,Chhattisgarh,4-Wheelers,93,5558,1.673263764
01-04-2023,Haryana,4-Wheelers,363,21914,1.656475313
01-12-2021,Haryana,2-Wheelers,670,40694,1.646434364
01-03-2022,Delhi,4-Wheelers,220,13385,1.64363093
